course_name,course_number,course_description,course_requirements,course_dependent,major,expected_term,no_of_hours,course_type,no_of_available_sections
Object-oriented programming ,CS1141,"Object-oriented programming represents the integration of software components into a large-scale software architecture. Software development in this way represents the next logical step after learning coding fundamentals, allowing for the creation of sprawling programs.",CS1140,CS1242,IT,Level Three,4,Mandatory,2
English 2,ENG1041,"This course, Applied Sciences Stream Level 1, is a special English language course for students at the Preparatory Programs Deanship. The focuses on accuracy and fluency in the four language skills(Listening, speaking, reading and writing) that improve student outcomes by integrating language instruction into real-life contexts. It maintains a strategy-based curriculum that aims at developing the all language skills. The textbooks used for this course are characterized by a consistent unit sequence that includes vocabulary, life stories, grammar, everyday conversation and real-life reading. The content of each unit is carefully presented to develop learners' other skills in vocabulary and idioms that provide learners with the tools they need to achieve civic, workplace, life-skills and academic competencies. The course, through these textbooks, focuses on reading, writing and vocabulary, listening and speaking, and grammar.",ENG1040,No Dependent,IT,Level Three,3,Mandatory,0
Data Structures,CS1242,"This course applies design and analysis techniques to numeric and nonnumeric
algorithms which act on data structures. Design is emphasized so that the student feels
comfortable with developing new algorithms. Analysis of algorithms is concerned with
the resources an algorithm must use to reach a solution. Only theoretical techniques of
analysis are covered. Topics include introduction to algorithm, asymptotic complexity,
sorting and searching, divide and conquer, data structures, graph algorithms, dynamic
programming, and NP-completeness.","CS1141, CS1100",IT1260,IT,Level Four,4,Mandatory,1
IT Fundamentals,IT1210,"IT Fundamentals introduces computer hardware, computer software, databases, networking, security, and software development. This course comprises 15 lessons covering IT fundamentals. Each lesson includes a combination of Wikipedia readings, YouTube videos, and hands-on learning activities",No Requirements,IT1211,IT,Level Four,3,Mandatory,1
University Package1,???? ??????? ? ????? ?????????,-,No Requirements,No Dependent,IT,Level Four,3,Mandatory,1
University Package3,???? ???????? ??????? ? ??? ?????,-,No Requirements,No Dependent,IT,Level Four,3,Mandatory,1
IT Systems,IT1211,"This course teaches concepts of information systems and their role in business. This course focuses on information systems, database management systems, networking, Internet, e-commerce, ethics and security, computer systems hardware and software components, and webpage development.",IT1210,"IT1200, IT1240, IT1220, IT1301, IT1310, IT1390, IT1490",IT,Level Five,4,Mandatory,1
Computer Operating Systems,IT1260,"This course explores the evolution, services, and structures of operating systems. It covers the basic concepts of operating system design and implementation and management of system resources such as Central Processing Unit (CPU), Input/output (I/O) devices, memory, and software.","CS1242, CS1120",No Dependent,IT,Level Five,4,Mandatory,2
University Package4,???? ???????? ????????? ? ???????,-,No Requirements,No Dependent,IT,Level Five,2,Mandatory,2
User Experience Engineering,IT1200,"This course addresses the engineering of user experiences (UX). It presents principles and guidelines for design and covers a range of design and engineering processes. It presents techniques for user testing of applications, digital systems, and physical devices.",IT1211,No Dependent,IT,Level Six,3,Mandatory,2
Data Communications Networking,IT1240,Data communications refers to the transmission of this digital data between two or more computers and a computer network or data network is a telecommunications network that allows computers to exchange data.,IT1211,"IT1310, IT1441",IT,Level Six,4,Mandatory,4
Database Design And Implementation,IT1220,Students learn the latest relational and object-relational tools and techniques for persistent data and object modeling and management. Students gain extensive hands- on experience using Oracle or Microsoft SQL Server as they learn the Structured Query Language (SQL) and design and implement databases.,IT1211,IT1390,IT,Level Six,4,Mandatory,4
IT Project Mangement,IT1301,"In this course, you will learn the fundamentals and best practices of project management methodology as applied to IT initiatives. Using real-world scenarios and hands-on exercises, you will apply practical project management principles to successfully take a project from planning to rollout.",IT1211,IT1322,IT,Level Seven,5,Mandatory,4
Cybersecurity Principles,IT1310,"This course equips students with the technical knowledge and skills to prevent, detect and respond to cyber-attacks. It covers several topics, such as system security, computer security, cryptography, network security, cyber forensics","IT1211, IT1240",IT1312,IT,Level Seven,3,Mandatory,3
Web Systems and Technologies 1,IT1390,This course provides an introduction to how web systems are programmed and maintained and how online pages are created and delivered by web servers and used by clients. It covers the concepts and practice necessary to create Internet content.,"IT1211, IT1220",IT1391,IT,Level Seven,3,Mandatory,3
University Package5,???? ???????? ??????????,-,No Requirements,No Dependent,IT,Level Seven,2,Mandatory,3
Web Systems and Technologies 2,IT1391,This course provides an introduction to how web systems are programmed and maintained and how online pages are created and delivered by web servers and used by clients. It covers the concepts and practice necessary to create Internet content.,IT1390,No Dependent,IT,Level Eight,3,Mandatory,3
Big Data Analytics,IT1322,"This course gives an overview of Big Data, i.e. storage, retrieval and processing of big data. In addition, it also focuses on the “technologies”, i.e., the tools/algorithms that are available for storage, processing of Big Data.","IT1301, IT1220",No Dependent,IT,Level Eight,3,Mandatory,3
Information Security Technologies,IT1312,This demands additional computer security measures to protect the information and relevant systems. This course prepares the students to meet the new challenges in the world of increasing threats to computer security by providing them with an understanding of the various threats and countermeasures.,IT1310,No Dependent,IT,Level Eight,3,Mandatory,3
Integrated Systems Architecure,???? ??????? ?????? ????????? ? ???????,"This course studies the process of integrating different systems and software applications by examining current and emerging trends, strategies, and techniques for developing systems integration solutions effectively.",No Requirements,No Dependent,IT,Level Nine,4,Mandatory,3
University Package2,,-,No Requirements,No Dependent,IT,Level Nine,2,Mandatory,3
Internet of Things,IT1441,"Internet of Things known as IoT is the study that describes the network of objects that are different things which are embedded with sensors, software, and also other technologies to connect and exchange data with other systems and devices over the Internet.",IT1240,No Dependent,IT,Level Ten,3,Mandatory,3
Seminar,IT1490,"Seminars are often defined as small, discussion-based courses. Typically, students complete readings and assignments before the class and discuss major themes or topics during class.","IT1211, IT1220",IT1492,IT,Level Ten,2,Mandatory,3
Graduation Project 1 -IT-,IT1492,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.","IT1390, 1490",IT1493,IT,Level Eelevn,4,Mandatory,3
Graduation Project 2 -IT-,IT1493,"The graduation project challenges students to go beyond the learning that occurs as the result of their prescribed educational program by developing projects that demonstrate their intellectual, technical and creative abilities. Students shall complete their projects in areas of concentrated study under the direction and supervision of faculty members. The projects will demonstrate the students' ability to apply, analyze, synthesize, evaluate information, and communicate significant knowledge and comprehension. Personal growth and satisfaction are associated with the graduation projects. Students will derive sense of accomplishment through the completion and “ownership” of bodies of works that are reflections of their interests and abilities. Opportunities to expand their personal knowledge and explore careers and apply learning to real life situations will serve to benefit the students' growth and promote lifelong learning.",IT1492,No Dependent,IT,Level Twelve,4,Mandatory,3
Training -CS-,CS362," a series of lessons to teach the skills and knowledge for a particular job or activity: She had almost no computer knowledge, so she signed up for a training course. go on/attend/do a training course Senior managers seem to feel they no longer need to attend training courses.","CS330, CS361, CS392, CS370",No Dependent,CS,TRAINING,1,Mandatory,3
Training -IS-,IS398," a series of lessons to teach the skills and knowledge for a particular job or activity: She had almost no computer knowledge, so she signed up for a training course. go on/attend/do a training course Senior managers seem to feel they no longer need to attend training courses.","CS330, IS335, IS350, IS321",No Dependent,IS,TRAINING,1,Mandatory,3
Training -IT-,IT491," a series of lessons to teach the skills and knowledge for a particular job or activity: She had almost no computer knowledge, so she signed up for a training course. go on/attend/do a training course Senior managers seem to feel they no longer need to attend training courses.",IT490,No Dependent,IT,TRAINING,1,Mandatory,3
